Date_time,us,LReactor,C_g,C_Eff,C_CD,T_CD,C_D_g,C_D_Eff,C_PAR
24/10/2021 11:10:15,0,0.856703,0.00204189,0.490079,-0.136024,0,0.172866,0.494024,25.6
24/10/2021 12:15:28,0,0.856703,0.00920123,0.883248,-0.133448,0,0.183898,0.494287,25.6
24/10/2021 13:20:41,0,0.856703,0.019739,0.350411,-0.133573,0,0.183364,0.465109,25.6
24/10/2021 14:25:54,0,0.856703,-2.92041e-16,9.71226e-13,-0.130793,0,0,0,25.6
24/10/2021 15:31:07,0,0.856703,3.11818e-14,5.39344e-10,-0.128232,0,0.0109712,0.354603,25.6
24/10/2021 16:36:20,0,0.856703,4.84703e-11,1.22727e-07,-0.125624,0,0.022144,0.417003,25.6
24/10/2021 17:41:33,0,0.856703,-3.26775e-15,9.2896e-11,-0.123046,0,0.0331852,0.441071,25.6
24/10/2021 18:46:46,0,0.856703,8.34479e-06,0.00497036,-0.120495,0,0.0441108,0.452883,25.6
24/10/2021 19:51:59,0,0.856703,8.26979e-14,9.34478e-10,-0.118002,0,0.0547908,0.45837,25.6
24/10/2021 20:57:12,0,0.856703,0.0439456,1.08985,-0.112884,0,0.0767156,0.541404,25.6
24/10/2021 22:02:25,0,0.856703,-1.0306e-16,2.86143e-13,-0.112884,0,0.0767156,0.468178,25.6
24/10/2021 23:07:38,0,0.856703,6.51799e-09,8.53809e-06,-0.107888,0,0.0981158,0.527522,25.6
25/10/2021 00:12:51,0,0.856703,1.62293e-05,0.00909793,-0.105452,0,0.108551,0.521487,25.6
25/10/2021 01:18:04,0,0.856703,-6.52596e-16,2.39885e-10,-0.102879,0,0.119572,0.51922,25.6
25/10/2021 02:23:17,0,0.856703,4.14079e-05,0.0182984,-0.0978502,0,0.141112,0.558959,25.6
25/10/2021 03:28:30,0,0.856703,0.0173743,1.95694,-0.0952267,0,0.15235,0.554768,25.6
25/10/2021 04:33:43,0,0.856703,6.38481e-10,1.19153e-06,-0.0927404,0,0.163,0.549277,25.6
25/10/2021 05:38:56,0,0.856703,9.09277e-09,1.1869e-05,-0.0901497,0,0.174098,0.54595,25.6
25/10/2021 06:44:09,0,0.856703,-4.39207e-08,-9.25501e-06,-0.0821528,0,0.208352,0.610962,25.6
25/10/2021 07:49:22,0,0.856703,-1.49201e-21,0,-0.0821528,0,0.208352,0.60137,0
25/10/2021 08:54:35,0,0.856703,-8.72499e-07,0,-0.0865669,0,0.189445,0.546796,0
25/10/2021 09:59:48,0,0.468017,-4.40242e-18,0,-0.0866933,0,0.188903,0.545234,0
25/10/2021 11:05:01,0,0.468017,0.0338517,1.18309,-0.0819282,0,0.200054,0.574609,25.6
25/10/2021 12:10:14,0,0.468017,-6.77284e-17,1.69486e-13,-0.0819282,0,0.200054,0.540262,25.6
25/10/2021 13:15:27,0,0.468017,0.00458761,0.206735,-0.0775229,0,0.210362,0.536057,25.6
25/10/2021 14:20:40,0,0.468017,0.000606254,0.161284,-0.0683564,0,0.0108278,0,25.6
25/10/2021 15:25:53,0,0.468017,0.00271226,0.507529,-0.0637006,0,0.0217227,0.745021,25.6
25/10/2021 16:31:06,0,0.468017,2.13316e-07,0.00018619,-0.0589823,0,0.0327639,0.638416,25.6
25/10/2021 17:36:19,0,1,2.51825e-05,0.0117732,-0.023121,0,0.0551826,0.751236,25.6
25/10/2021 18:41:32,0,1,-0.000178349,-0.00356948,-0.0236694,0,0.0524407,0.548433,25.6
25/10/2021 19:46:45,0,1,0.00025527,0.0964655,-0.0197063,0,0.0722562,0.613476,25.6
25/10/2021 20:51:58,0,1,-2.80324e-05,-0.00564221,-0.0184377,0,0.0785989,0.561755,25.6
25/10/2021 21:57:11,0,1,0.000269256,0.0943687,-0.0145165,0,0.098205,0.605909,25.6
25/10/2021 23:02:24,0,1,0.0158547,0.266978,-0.01338,0,0.103887,0.56395,25.6
26/10/2021 00:07:37,0,1,2.08257e-06,0.00153641,-0.00996837,0,0.120946,0.586044,25.6
26/10/2021 01:12:50,0,1,0.0391681,2.84839,-0.00622445,0,0.139665,0.61112,25.6
26/10/2021 02:18:03,0,1,-0.000243901,-0.00969408,-0.00257679,0,0.157904,0.629914,25.6
