Date_Time,LReactor,C_g,C_Eff,C_CD,T_CD,C_D_g,C_D_Eff,C_PAR
13/12/2021 17:07:00,1.32737,0.0104034,0.0,0.100028,0,0.298119,0,0.0
13/12/2021 17:39:36,1.32737,-2.8052e-05,0.0,0.0992134,0,0.260296,0,0.0
13/12/2021 18:12:12,1.32737,-1.40856e-05,0.0,0.100207,0,0.306465,0,0.0
13/12/2021 18:44:48,1.32737,-2.66651e-05,0.0,0.101219,0,0.353475,0,0.0
13/12/2021 19:17:24,1.32737,0.432289,0.0,0.102294,0,0.403392,0,0.0
13/12/2021 19:50:00,1.32737,-5.28545e-05,0.0,0.101722,0,0.376848,0,0.0
13/12/2021 20:22:36,1.32737,-1.7368e-05,0.0,0.102706,0,0.422555,0,0.0
13/12/2021 20:55:12,1.32737,0.000664373,0.0,0.103669,0,0.467276,0,0.0
13/12/2021 21:27:48,1.32737,0.121728,0.0,0.104663,0,0.513484,0,0.0
13/12/2021 22:00:24,1.32737,-0.0163652,0.0,0.103672,0,0.467426,0,0.0
13/12/2021 22:33:00,1.32737,-0.00142114,0.0,0.104834,0,0.521421,0,0.0
13/12/2021 23:05:36,1.32737,0.000199521,0.0,0.106007,0,0.575922,0,0.0
13/12/2021 23:38:12,1.32737,0.131892,0.0,0.106926,0,0.618597,0,0.0
14/12/2021 00:10:48,1.32737,-0.000129576,0.0,0.106181,0,0.584017,0,0.0
14/12/2021 00:43:24,1.32737,-5.17339e-05,0.0,0.10735,0,0.638296,0,0.0
14/12/2021 01:16:00,1.32737,0.00213636,0.0,0.108455,0,0.689653,0,0.0
14/12/2021 01:48:36,1.32737,0.224097,0.0,0.107555,0,0.647816,0,0.0
14/12/2021 02:21:12,1.32737,-1.56328e-05,0.0,0.10874,0,0.70287,0,0.0
14/12/2021 02:53:48,1.32737,1.28203e-06,0.0,0.109658,0,0.745518,0,0.0
14/12/2021 03:26:24,1.32737,0.00116828,0.0,0.110761,0,0.796762,0,0.0
14/12/2021 03:59:00,1.32737,-0.000438882,0.0,0.110021,0,0.762394,0,0.0
14/12/2021 04:31:36,1.32737,-5.50466e-05,0.0,0.111108,0,0.812908,0,0.0
14/12/2021 05:04:12,1.32737,-0.000215617,0.0,0.112061,0,0.857176,0,0.0
14/12/2021 05:36:48,1.32737,0.0892971,0.0,0.113087,0,0.904853,0,0.0
14/12/2021 06:09:24,1.32737,0.0355296,0.0,0.112358,0,0.870947,0,0.0
14/12/2021 06:42:00,1.32737,-0.000577437,0.0,0.113436,0,0.921034,0,0.0
14/12/2021 07:14:36,1.32737,0.00231984,0.0,0.114533,0,0.972021,0,0.0
14/12/2021 07:47:12,1.32737,0.0258409,0.0,0.115464,0,1.01526,0,0.0
14/12/2021 08:19:48,1.32737,-8.90963e-05,0.0,0.114809,0,0.984846,0,0.0
14/12/2021 08:52:24,2.27209,-2.3398e-07,0.0,0.0676509,0,1.03085,0,0.0
14/12/2021 09:25:00,2.75794,-9.69925e-06,0.0,0.0561667,0,1.0727,0,0.0
14/12/2021 09:57:36,2.75794,0.00514944,0.0,0.0567081,0,1.12495,0,0.0
14/12/2021 10:30:12,2.75794,-4.9541e-05,0.0,0.0563513,0,1.09052,0,0.0
14/12/2021 11:02:48,0.324277,1.17845e-05,0.0,-0.000678387,0,0,0,0.0
14/12/2021 11:35:24,4.37373,-2.01083e-12,0.0,-5.0297e-05,0,0,0,0.0
14/12/2021 12:08:00,6.54401,-0.106419,0.0,-0.000687776,0,-0.149829,0,0.0
14/12/2021 12:40:36,6.54401,-0.0293134,0.0,-0.00116485,0,-0.259098,0,0.0
14/12/2021 13:13:12,6.54401,-0.0104439,0.0,-0.00167759,0,-0.376538,0,0.0
14/12/2021 13:45:48,6.54401,-0.00947869,0.0,-0.00210721,0,-0.474938,0,0.0
14/12/2021 14:18:24,6.54401,-0.00229287,0.0,-0.00252479,0,-0.570579,0,0.0
14/12/2021 14:51:00,6.54401,-0.035548,0.0,-0.00309126,0,-0.700325,0,0.0
14/12/2021 15:23:36,6.35979,-0.0017823,0.0,-0.00417334,0,-0.943981,0,0.0
14/12/2021 15:56:12,1.64599,-3.20503,0.0,-0.0175891,0,-2.39975,0,0.0
14/12/2021 16:28:48,0.0,-0.00078686,0.0,0.0,0,-3.08796,0,0.0
14/12/2021 17:01:24,0.0,-0.000107596,0.0,0.0,0,-3.12403,0,0.0
14/12/2021 17:34:00,1.04815,2.85715,0.0,-0.0267621,0,-3.90587,0,0.0
14/12/2021 18:06:36,2.94058,-1.14838,0.0,-0.0140907,0,-4.37431,0,0.0
14/12/2021 18:39:12,2.94058,0.306904,0.0,-0.0232749,0,-5.31955,0,0.0
14/12/2021 19:11:48,2.94058,0.00843392,0.0,-0.0227761,0,-5.26821,0,0.0
14/12/2021 19:44:24,2.94058,-8.21287e-05,0.0,-0.023158,0,-5.30752,0,0.0
14/12/2021 20:17:00,2.94058,-3.3038e-05,0.0,-0.0234934,0,-5.34203,0,0.0
14/12/2021 20:49:36,2.94058,-2.06376e-05,0.0,-0.0238246,0,-5.37613,0,0.0
14/12/2021 21:22:12,2.94058,0.0960139,0.0,-0.0232749,0,-5.31955,0,0.0
14/12/2021 21:54:48,2.94058,0.310911,0.0,-0.0235736,0,-5.35029,0,0.0
